FID,Zone,Longitude,Latitude,Azimuth,TCD,SHAPE_Leng,SCE,NSM,EPR,EPRunc,LRR,LR2,LSE,LCI90,WLR,WR2,WSE,WCI90,SLA_Interp
0,Manda_TanaRiver,40.82362402,-2.349725562,213.62,0,2429.648488,23.96,-1.69,-0.07,0.59,-0.24,0.07,6.79,0.32,-0.162663033,0.07,0.68,0.32,1.097985168
1,Manda_TanaRiver,40.8237848,-2.349829141,213.8,25,2429.995979,21.57,-1.72,-0.07,0.59,-0.23,0.08,6.11,0.29,-0.151645617,0.08,0.61,0.29,1.097985168
2,Manda_TanaRiver,40.82394711,-2.349940554,213.95,50,2431.613519,20.2,-1.8,-0.07,0.59,-0.22,0.08,5.76,0.27,-0.149495401,0.08,0.58,0.27,1.097985168
3,Manda_TanaRiver,40.82410116,-2.350054696,214.12,75,2434.775955,20.13,-2.02,-0.08,0.59,-0.2,0.05,6.21,0.3,-0.133739545,0.05,0.62,0.3,1.097985168
4,Manda_TanaRiver,40.82357525,-2.351165951,214.32,100,2704.813605,286.75,-2.38,-0.1,0.59,1.02,0.02,56.73,2.7,0.700045748,0.02,5.67,2.7,1.086013841
5,Manda_TanaRiver,40.82373961,-2.351259924,214.49,125,2701.693711,280.31,-2.88,-0.12,0.59,0.98,0.02,55.46,2.64,0.671176028,0.02,5.55,2.64,1.086013841
6,Manda_TanaRiver,40.82391061,-2.351352364,214.64,150,2697.478795,272.03,-3.73,-0.16,0.59,0.95,0.02,53.89,2.56,0.672835798,0.02,5.39,2.56,1.086013841
7,Manda_TanaRiver,40.82408849,-2.351441573,214.77,175,2691.824021,262.14,-4.65,-0.19,0.59,0.92,0.02,51.98,2.47,0.632216686,0.02,5.2,2.47,1.086013841
8,Manda_TanaRiver,40.82425832,-2.351523667,214.96,200,2685.916487,252.43,-5.79,-0.24,0.59,0.88,0.02,50.09,2.38,0.597029531,0.02,5.01,2.38,1.086013841
9,Manda_TanaRiver,40.82443199,-2.351605092,215.13,225,2679.411686,242,-6.32,-0.26,0.59,0.85,0.02,48.03,2.28,0.565868027,0.02,4.8,2.28,1.086013841
10,Manda_TanaRiver,40.82460994,-2.351687047,215.28,250,2671.13487,229.98,-6.86,-0.29,0.59,0.79,0.02,45.7,2.17,0.53665976,0.02,4.57,2.17,1.086013841
11,Manda_TanaRiver,40.82475816,-2.35176313,215.57,275,2665.653706,221.82,-6.9,-0.29,0.59,0.76,0.02,44.11,2.1,0.514658835,0.02,4.41,2.1,1.086013841
12,Manda_TanaRiver,40.82490781,-2.351837656,215.85,300,2659.77526,213.21,-6.65,-0.28,0.59,0.73,0.02,42.41,2.02,0.497796629,0.02,4.24,2.02,1.086013841
13,Manda_TanaRiver,40.82505726,-2.351912887,216.14,325,2653.542009,204.26,-6.12,-0.26,0.59,0.71,0.02,40.65,1.93,0.483484057,0.02,4.06,1.93,1.086013841
14,Manda_TanaRiver,40.82520513,-2.351989052,216.43,350,2647.174477,195.41,-5.59,-0.23,0.59,0.68,0.02,38.91,1.85,0.4478648,0.02,3.89,1.85,1.066573311
15,Manda_TanaRiver,40.82536166,-2.352066479,216.69,375,2639.949512,185.31,-4.99,-0.21,0.59,0.65,0.02,36.89,1.75,0.435259925,0.02,3.69,1.75,1.066573311
16,Manda_TanaRiver,40.82552142,-2.352140071,216.95,400,2631.668857,174.11,-4.57,-0.19,0.59,0.61,0.02,34.62,1.65,0.432563787,0.02,3.46,1.65,1.066573311
17,Manda_TanaRiver,40.82567249,-2.352212166,217.24,425,2624.344024,164.14,-4.21,-0.18,0.59,0.57,0.02,32.59,1.55,0.394782702,0.02,3.26,1.55,1.066573311
18,Manda_TanaRiver,40.82581622,-2.352283735,217.57,450,2616.956632,154.81,-3.88,-0.16,0.59,0.54,0.02,30.68,1.46,0.352988778,0.02,3.07,1.46,1.066573311
19,Manda_TanaRiver,40.82595665,-2.352353528,217.92,475,2609.680425,145.74,-3.63,-0.15,0.59,0.5,0.02,28.82,1.37,0.349832272,0.02,2.88,1.37,1.066573311
20,Manda_TanaRiver,40.82611681,-2.352422936,218.19,500,2599.721183,132.84,-3.4,-0.14,0.59,0.43,0.02,26.22,1.25,0.284785574,0.02,2.62,1.25,1.066573311
21,Manda_TanaRiver,40.82627944,-2.352489905,218.46,525,2589.057929,119.18,-3.16,-0.13,0.59,0.36,0.01,23.46,1.12,0.248383659,0.01,2.35,1.12,1.066573311
22,Manda_TanaRiver,40.82643425,-2.35255717,218.77,550,2579.593054,106.97,-2.94,-0.12,0.59,0.3,0.01,21,1,0.203482089,0.01,2.1,1,1.066573311
23,Manda_TanaRiver,40.82658262,-2.352628318,219.09,575,2571.772831,96.25,-3.01,-0.13,0.59,0.25,0.01,18.83,0.89,0.175391261,0.01,1.88,0.89,1.066573311
