"OBJECTID","ID","Date","Observers","Block","Site","Site_ID","Plot_No","Lat","Lon","Forest_Typ","Vegetation","Stumps","Inudation_","Status","Block_Names","Lat_degrees","Lat_minutes","Lat_seconds","Long_degrees","Long_minutes","Long_seconds","Lat_decimal","Long_decimal"
1,"X",42067,"Hashim","Pethali","Shinda kasi","PET_1",4,"-2°8'31.06""","40°58'9.52""","R. mucronata",70,2,1,"P_transect_ii","Pethali",-2,8,31.06,40,58,9.52,-1.85803888888889,40.9693111111111
2,"PCPO 8",42067,"Hashim","Pethali","Chongoni","PET_2",0,"-2°12'20.74""","40°59'45.35""","R. mucronata",34,1,1,"P_Spot_check","Pethali",-2,12,20.74,40,59,45.35,-1.79423888888889,40.9959305555556
4,"PC9",42067,"Judith and group","Pethali","Chongoni","PET_4",9,"-2°10'1.81""","40°57'54.76""","R. mucronata, A. marina",15,1,1,"P_transect_i","Pethali",-2,10,1.81,40,57,54.76,-1.83283055555556,40.9652111111111
5,"PC3",42067,"Judith and group","Pethali","Chongoni","PET_5",3,"-2°8'34.87""","40°57'49.32""","R. mucronata, A. marina",55,0,1,"P_transect_ii","Pethali",-2,8,34.87,40,57,49.32,-1.85698055555556,40.9637
6,"SSSiyu A",42068,"Hashim, Judith","Siyu","Siyu Jetty","SIY_1",0,"-2°5'9.02""","41°3'17.57""","C. tagal",70,0,3,"S_spot_check","Siyu",-2,5,9.02,41,3,17.57,-1.91416111111111,41.0548805555556
7,"SSSiyu C",42068,"Judith","Siyu","Siyu","SIY_2",0,"-2°4'40.01""","41°2'59.46""","R. mucronata",60,0,1,"S_transect_ii","Siyu",-2,4,40.01,41,2,59.46,-1.92221944444444,41.04985
8,"SSSpot Check 1",42068,"Judith and Hashim","Siyu","Siyu Bori","SIY_3",0,"-2°5'27.10""","41°1'12.36""","R. mucronata",79,4,1,"S_transect_i","Siyu",-2,5,27.1,41,1,12.36,-1.90913888888889,41.0201
9,"SSSpot Check 4",42068,"Hashim","Siyu","Siyu Bori","SIY_4",0,"-2°5'34.51""","41°1'18.62""","A. marina",25,0,3,"S_spot_check","Siyu",-2,5,34.51,41,1,18.62,-1.90708055555556,41.0218388888889
10,"SSPOC",42068,"Hashim and group","Uvondo","Shindambwe","UVO_1",0,"-2°2'33.50""","41°8'1.86""","R. mucronata, A. marina",70,7,1,"U_transect_ii","Uvondo",-2,2,33.5,41,8,1.86,-1.95736111111111,41.13385
11,"SSSiyu B/2",42068,"Judith and group","Siyu","Siyu","SIY_5",0,"-2°4'54.05""","41°3'2.12""","R. mucronata",80,0,1,"S_transect_ii","Siyu",-2,4,54.05,41,3,2.12,-1.91831944444444,41.0505888888889
12,"SSSpot check 2",42068,"Judith,James and group","Siyu","Siyu bori","SIY_6",0,"-2°5'28.68""","41°1'8.83""","C. tagal",85,0,3,"S_transect_i","Siyu",-2,5,28.68,41,1,8.83,-1.9087,41.0191194444444
