Zone,Fish type,Species,Season,Year,Number of Boated catch,Weight in Kgs,Tagged fish,Hours,CPUE,Released weight (weight - boated),Calculated length
Malindi & Ngomeni,Striped Marlin,Sphyraena,1990/1991,1991,403,2558,0,7,57.6,,
Watamu,Barracuda,Sphyraena,1990/1991,1991,341,2339,0,7,48.7,,
Shimoni,Barracuda,Sphyraena,1990/1991,1991,24,149,0,7,3.4,,
Mtwapa & Mombasa,Barracuda,Sphyraena,1990/1991,1991,163,1190,0,7,23.3,,
Kilifi,Barracuda,Sphyraena,1990/1991,1991,13,108,0,7,1.9,,
Lamu & Kiwayu,Barracuda,Sphyraena,1990/1991,1991,54,305,0,7,7.7,,
Malindi & Ngomeni,Barracuda,Sphyraena,1990/1991,1992,293,1694.7,0,7,41.9,,
Watamu,Barracuda,Sphyraena,1990/1991,1992,219,1491,0,7,31.3,,
Shimoni,Barracuda,Sphyraena,1991/1992,1992,24,187,0,7,3.4,,
Mtwapa & Mombasa,Barracuda,Sphyraena,1991/1992,1992,176,1293,0,7,25.1,,
Kilifi,Barracuda,Sphyraena,1991/1992,1992,55,270,0,7,7.9,,
Lamu & Kiwayu,Barracuda,Sphyraena,1990/1991,1992,30,169.5,0,7,4.3,,
Malindi & Ngomeni,Barracuda,Sphyraena,1992/1993,1993,366,2250.7,0,7,52.3,,
Watamu,Barracuda,Sphyraena,1992/1993,1993,218,1504,0,7,31.1,,
Shimoni,Barracuda,Sphyraena,1992/1993,1993,60,438,0,7,8.6,,
Mtwapa & Mombasa,Barracuda,Sphyraena,1992/1993,1993,193,1392,0,7,27.6,,
Kilifi,Barracuda,Sphyraena,1992/1993,1993,29,106,0,7,4.1,,
Lamu & Kiwayu,Barracuda,Sphyraena,1992/1993,1993,57,382,0,7,8.1,,
Malindi & Ngomeni,Barracuda,Sphyraena,1993/1994,1994,279,1833.5,1,7,39.9,,
Watamu,Barracuda,Sphyraena,1993/1994,1994,251,1706,0,7,35.9,,
Shimoni,Barracuda,Sphyraena,1993/1994,1994,100,729.5,0,7,14.3,,
Mtwapa & Mombasa,Barracuda,Sphyraena,1993/1994,1994,185,1532.3,0,7,26.4,,
Kilifi,Barracuda,Sphyraena,1993/1994,1994,43,274.8,0,7,6.1,,
Lamu & Kiwayu,Barracuda,Sphyraena,1993/1994,1994,16,41.5,0,7,2.3,,
Malindi & Ngomeni,Barracuda,Sphyraena,1994/1995,1995,162,954,0,7,23.1,,
Watamu,Barracuda,Sphyraena,1994/1995,1995,229,1694,0,7,32.7,,
Shimoni,Barracuda,Sphyraena,1994/1995,1995,65,413,0,7,9.3,,
Mtwapa & Mombasa,Barracuda,Sphyraena,1994/1995,1995,138,945,0,7,19.7,,
Kilifi,Barracuda,Sphyraena,1994/1995,1995,26,170,0,7,3.7,,
Lamu & Kiwayu,Barracuda,Sphyraena,1994/1995,1995,6,40,0,7,0.9,,
Malindi & Ngomeni,Barracuda,Sphyraena,1995/1996,1996,379,1249,0,7,54.1,,
Watamu,Barracuda,Sphyraena,1995/1996,1996,277,1905,0,7,39.6,,
Shimoni,Barracuda,Sphyraena,1995/1996,1996,69,543,0,7,9.9,,
Mtwapa & Mombasa,Barracuda,Sphyraena,1995/1996,1996,130,897,0,7,18.6,,
Kilifi,Barracuda,Sphyraena,1995/1996,1996,34,182,0,7,4.9,,
Lamu & Kiwayu,Barracuda,Sphyraena,1995/1996,1996,21,125,0,7,3.0,,
Malindi & Ngomeni,Barracuda,Sphyraena,1996/1997,1997,316,2019,0,7,45.1,,
Watamu,Barracuda,Sphyraena,1996/1997,1997,220,1613,0,7,31.4,,
Shimoni,Barracuda,Sphyraena,1996/1997,1997,47,372,0,7,6.7,,
Mtwapa & Mombasa,Barracuda,Sphyraena,1996/1997,1997,157,1156,0,7,22.4,,
Kilifi,Barracuda,Sphyraena,1996/1997,1997,46,353,0,7,6.6,,
Lamu & Kiwayu,Barracuda,Sphyraena,1996/1997,1997,59,417,0,7,8.4,,
Malindi & Ngomeni,Barracuda,Sphyraena,1997/1998,1998,272,1694.4,7,7,38.9,,
Watamu,Barracuda,Sphyraena,1997/1998,1998,271,1703,0,7,38.7,,
Shimoni,Barracuda,Sphyraena,1997/1998,1998,46,364.8,0,7,6.6,,
Mtwapa & Mombasa,Barracuda,Sphyraena,1997/1998,1998,90,497,0,7,12.9,,
Kilifi,Barracuda,Sphyraena,1997/1998,1998,21,142.6,0,7,3.0,,
Lamu & Kiwayu,Barracuda,Sphyraena,1997/1998,1998,22,137,0,7,3.1,,
Malindi & Ngomeni,Barracuda,Sphyraena,1998/1999,1999,279,1799,0,7,39.9,,
Watamu,Barracuda,Sphyraena,1998/1999,1999,264,1699,0,7,37.7,,
Shimoni,Barracuda,Sphyraena,1998/1999,1999,32,222,0,7,4.6,,
Mtwapa & Mombasa,Barracuda,Sphyraena,1998/1999,1999,102,701,0,7,14.6,,
Kilifi,Barracuda,Sphyraena,1998/1999,1999,37,182,0,7,5.3,,
Lamu & Kiwayu,Barracuda,Sphyraena,1998/1999,1999,34,198,0,7,4.9,,
Malindi & Ngomeni,Barracuda,Sphyraena,1999/2000,2000,222,1298,0,7,31.7,,
Watamu,Barracuda,Sphyraena,1999/2000,2000,73,467,0,7,10.4,,
Shimoni,Barracuda,Sphyraena,1999/2000,2000,38,331,0,7,5.4,,
Mtwapa & Mombasa,Barracuda,Sphyraena,1999/2000,2000,66,347,0,7,9.4,,
Kilifi,Barracuda,Sphyraena,1999/2000,2000,39,171,0,7,5.6,,
Lamu & Kiwayu,Barracuda,Sphyraena,1999/2000,2000,20,126,0,7,2.9,,
Malindi & Ngomeni,Barracuda,Sphyraena,2000/2001,2001,200,1069,0,7,28.6,,
Watamu,Barracuda,Sphyraena,2000/2001,2001,94,562,0,7,13.4,,
Shimoni,Barracuda,Sphyraena,2000/2001,2001,26,168,0,7,3.7,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2000/2001,2001,59,365,0,7,8.4,,
Kilifi,Barracuda,Sphyraena,2000/2001,2001,26,111,0,7,3.7,,
Lamu & Kiwayu,Barracuda,Sphyraena,2000/2001,2001,13,83,0,7,1.9,,
Malindi & Ngomeni,Barracuda,Sphyraena,2001/2002,2002,339,2039,0,7,48.4,,
Watamu,Barracuda,Sphyraena,2001/2002,2002,107,816,0,7,15.3,,
Shimoni,Barracuda,Sphyraena,2001/2002,2002,15,129,0,7,2.1,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2001/2002,2002,102,765,0,7,14.6,,
Kilifi,Barracuda,Sphyraena,2001/2002,2002,24,150,0,7,3.4,,
Lamu & Kiwayu,Barracuda,Sphyraena,2001/2002,2002,20,153,0,7,2.9,,
Malindi & Ngomeni,Barracuda,Sphyraena,2002/2003,2003,549,3475,0,7,78.4,,
Watamu,Barracuda,Sphyraena,2002/2003,2003,109,747,0,7,15.6,,
Shimoni,Barracuda,Sphyraena,2002/2003,2003,41,204,0,7,5.9,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2002/2003,2003,63,631,0,7,9.0,,
Kilifi,Barracuda,Sphyraena,2002/2003,2003,6,17,0,7,0.9,,
Lamu & Kiwayu,Barracuda,Sphyraena,2002/2003,2003,13,62,0,7,1.9,,
Malindi & Ngomeni,Barracuda,Sphyraena,2003/2004,2004,625,3561,0,7,89.3,,
Watamu,Barracuda,Sphyraena,2003/2004,2004,128,888.9,0,7,18.3,,
