zone,fish_type,species,season,year,number_of_boated_catch,weight_in_kgs,tagged_fish,hours,cpue,released_weight_weight_boated,calculated_length,wrong_entry,average_weight,release_weight
Malindi & Ngomeni,Striped Marlin,Sphyraena,1990/1991,1991,403,2558,0,7,57.6,,,no,6.35,0
Watamu,Barracuda,Sphyraena,1990/1991,1991,341,2339,0,7,48.7,,,no,6.86,0
Shimoni,Barracuda,Sphyraena,1990/1991,1991,24,149,0,7,3.4,,,no,6.21,0
Mtwapa & Mombasa,Barracuda,Sphyraena,1990/1991,1991,163,1190,0,7,23.3,,,no,7.3,0
Kilifi,Barracuda,Sphyraena,1990/1991,1991,13,108,0,7,1.9,,,no,8.31,0
Lamu & Kiwayu,Barracuda,Sphyraena,1990/1991,1991,54,305,0,7,7.7,,,no,5.65,0
Malindi & Ngomeni,Barracuda,Sphyraena,1990/1991,1992,293,1694.7,0,7,41.9,,,no,5.78,0
Watamu,Barracuda,Sphyraena,1990/1991,1992,219,1491,0,7,31.3,,,no,6.81,0
Shimoni,Barracuda,Sphyraena,1991/1992,1992,24,187,0,7,3.4,,,no,7.79,0
Mtwapa & Mombasa,Barracuda,Sphyraena,1991/1992,1992,176,1293,0,7,25.1,,,no,7.35,0
Kilifi,Barracuda,Sphyraena,1991/1992,1992,55,270,0,7,7.9,,,no,4.91,0
Lamu & Kiwayu,Barracuda,Sphyraena,1990/1991,1992,30,169.5,0,7,4.3,,,no,5.65,0
Malindi & Ngomeni,Barracuda,Sphyraena,1992/1993,1993,366,2250.7,0,7,52.3,,,no,6.15,0
Watamu,Barracuda,Sphyraena,1992/1993,1993,218,1504,0,7,31.1,,,no,6.9,0
Shimoni,Barracuda,Sphyraena,1992/1993,1993,60,438,0,7,8.6,,,no,7.3,0
Mtwapa & Mombasa,Barracuda,Sphyraena,1992/1993,1993,193,1392,0,7,27.6,,,no,7.21,0
Kilifi,Barracuda,Sphyraena,1992/1993,1993,29,106,0,7,4.1,,,no,3.66,0
Lamu & Kiwayu,Barracuda,Sphyraena,1992/1993,1993,57,382,0,7,8.1,,,no,6.7,0
Malindi & Ngomeni,Barracuda,Sphyraena,1993/1994,1994,279,1833.5,1,7,39.9,,,no,6.57,6
Watamu,Barracuda,Sphyraena,1993/1994,1994,251,1706,0,7,35.9,,,no,6.8,0
Shimoni,Barracuda,Sphyraena,1993/1994,1994,100,729.5,0,7,14.3,,,no,7.3,0
Mtwapa & Mombasa,Barracuda,Sphyraena,1993/1994,1994,185,1532.3,0,7,26.4,,,no,8.28,0
Kilifi,Barracuda,Sphyraena,1993/1994,1994,43,274.8,0,7,6.1,,,no,6.39,0
Lamu & Kiwayu,Barracuda,Sphyraena,1993/1994,1994,16,41.5,0,7,2.3,,,no,2.59,0
Malindi & Ngomeni,Barracuda,Sphyraena,1994/1995,1995,162,954,0,7,23.1,,,no,5.89,0
Watamu,Barracuda,Sphyraena,1994/1995,1995,229,1694,0,7,32.7,,,no,7.4,0
Shimoni,Barracuda,Sphyraena,1994/1995,1995,65,413,0,7,9.3,,,no,6.35,0
Mtwapa & Mombasa,Barracuda,Sphyraena,1994/1995,1995,138,945,0,7,19.7,,,no,6.85,0
Kilifi,Barracuda,Sphyraena,1994/1995,1995,26,170,0,7,3.7,,,no,6.54,0
Lamu & Kiwayu,Barracuda,Sphyraena,1994/1995,1995,6,40,0,7,0.9,,,no,6.67,0
Malindi & Ngomeni,Barracuda,Sphyraena,1995/1996,1996,379,1249,0,7,54.1,,,no,3.3,0
Watamu,Barracuda,Sphyraena,1995/1996,1996,277,1905,0,7,39.6,,,no,6.88,0
Shimoni,Barracuda,Sphyraena,1995/1996,1996,69,543,0,7,9.9,,,no,7.87,0
Mtwapa & Mombasa,Barracuda,Sphyraena,1995/1996,1996,130,897,0,7,18.6,,,no,6.9,0
Kilifi,Barracuda,Sphyraena,1995/1996,1996,34,182,0,7,4.9,,,no,5.35,0
Lamu & Kiwayu,Barracuda,Sphyraena,1995/1996,1996,21,125,0,7,3,,,no,5.95,0
Malindi & Ngomeni,Barracuda,Sphyraena,1996/1997,1997,316,2019,0,7,45.1,,,no,6.39,0
Watamu,Barracuda,Sphyraena,1996/1997,1997,220,1613,0,7,31.4,,,no,7.33,0
Shimoni,Barracuda,Sphyraena,1996/1997,1997,47,372,0,7,6.7,,,no,7.91,0
Mtwapa & Mombasa,Barracuda,Sphyraena,1996/1997,1997,157,1156,0,7,22.4,,,no,7.36,0
Kilifi,Barracuda,Sphyraena,1996/1997,1997,46,353,0,7,6.6,,,no,7.67,0
Lamu & Kiwayu,Barracuda,Sphyraena,1996/1997,1997,59,417,0,7,8.4,,,no,7.07,0
Malindi & Ngomeni,Barracuda,Sphyraena,1997/1998,1998,272,1694.4,7,7,38.9,,,no,6.23,43
Watamu,Barracuda,Sphyraena,1997/1998,1998,271,1703,0,7,38.7,,,no,6.28,0
Shimoni,Barracuda,Sphyraena,1997/1998,1998,46,364.8,0,7,6.6,,,no,7.93,0
Mtwapa & Mombasa,Barracuda,Sphyraena,1997/1998,1998,90,497,0,7,12.9,,,no,5.52,0
Kilifi,Barracuda,Sphyraena,1997/1998,1998,21,142.6,0,7,3,,,no,6.79,0
Lamu & Kiwayu,Barracuda,Sphyraena,1997/1998,1998,22,137,0,7,3.1,,,no,6.23,0
Malindi & Ngomeni,Barracuda,Sphyraena,1998/1999,1999,279,1799,0,7,39.9,,,no,6.45,0
Watamu,Barracuda,Sphyraena,1998/1999,1999,264,1699,0,7,37.7,,,no,6.44,0
